#RPLIDAR SCAN DATA
#COUNT=1039
#Angule	Distance	Quality
70.8398	 522.0	 188
71.1090	 530.0	 188
71.3562	 538.0	 188
71.6693	 546.0	 188
71.9330	 552.0	 188
72.1857	 562.0	 188
72.4988	 570.0	 188
72.7625	 578.0	 188
73.0151	 586.0	 188
73.3228	 596.0	 188
73.5919	 608.0	 188
73.8391	 618.0	 188
74.1522	 628.0	 188
74.4214	 638.0	 188
74.6686	 650.0	 188
74.9817	 662.0	 188
75.2454	 674.0	 188
75.4980	 686.0	 188
75.8112	 700.0	 188
76.0748	 714.0	 188
76.3275	 726.0	 188
76.6516	 742.0	 188
76.9043	 758.0	 188
77.1515	 774.0	 188
77.4811	 790.0	 188
77.7338	 810.0	 188
77.9974	 830.0	 188
78.2446	 850.0	 188
78.5577	 872.0	 188
78.8269	 896.0	 188
79.0741	 918.0	 188
79.3872	 942.0	 188
79.6509	 968.0	 188
79.9036	 996.0	 188
80.1672	 1026.0	 188
80.4803	 1056.0	 188
80.7330	 1088.0	 188
81.3098	 1120.0	 188
88.1982	 5632.0	 188
88.5114	 5624.0	 188
88.8245	 5632.0	 188
89.1376	 5624.0	 188
89.4507	 5608.0	 188
89.7638	 5608.0	 188
90.0769	 5608.0	 188
90.3900	 5592.0	 188
90.7031	 5576.0	 188
91.0107	 5568.0	 188
91.3239	 5568.0	 188
91.6370	 5576.0	 188
91.9666	 5576.0	 188
92.2797	 5576.0	 188
92.5928	 5568.0	 188
92.9059	 5576.0	 188
93.2135	 5576.0	 188
93.5266	 5568.0	 188
93.8397	 5560.0	 188
94.1528	 5568.0	 188
94.4659	 5576.0	 188
94.7791	 5568.0	 188
95.0922	 5576.0	 188
95.4053	 5512.0	 188
96.3556	 5624.0	 188
96.6687	 5640.0	 188
96.9818	 5592.0	 188
97.2949	 5576.0	 188
97.6080	 5568.0	 188
97.9211	 5552.0	 188
98.2343	 5560.0	 188
98.5419	 5576.0	 188
98.8550	 5592.0	 188
99.1681	 5584.0	 188
99.4977	 5576.0	 188
99.8108	 5568.0	 188
100.1239	 5584.0	 188
100.4370	 5608.0	 188
101.0577	 5688.0	 188
101.3708	 5416.0	 188
101.6840	 5264.0	 188
101.9971	 5120.0	 188
102.3102	 5016.0	 188
102.6233	 4992.0	 188
102.9529	 5008.0	 188
103.2605	 5016.0	 188
103.8867	 5048.0	 188
105.8862	 3968.0	 188
106.8256	 3736.0	 188
107.1387	 3712.0	 188
107.4518	 3664.0	 188
107.7649	 3624.0	 188
108.0780	 3632.0	 188
108.3856	 3640.0	 188
108.6987	 3648.0	 188
109.0118	 3656.0	 188
109.3414	 3664.0	 188
109.6545	 3672.0	 188
109.9677	 3680.0	 188
110.2808	 3688.0	 188
110.5884	 3696.0	 188
110.9015	 3704.0	 188
111.2146	 3712.0	 188
111.5277	 3720.0	 188
111.8408	 3728.0	 188
112.1539	 3736.0	 188
112.4835	 3744.0	 188
112.7966	 3760.0	 188
113.1042	 3772.0	 188
113.4174	 3776.0	 188
113.7305	 3780.0	 188
114.0436	 3788.0	 188
114.3567	 3796.0	 188
114.6698	 3808.0	 188
114.9829	 3816.0	 188
115.2960	 3824.0	 188
115.6091	 3832.0	 188
115.9332	 3848.0	 188
116.2463	 3860.0	 188
116.5594	 3872.0	 188
116.8726	 3884.0	 188
117.1857	 3892.0	 188
117.4988	 3904.0	 188
117.8119	 3912.0	 188
118.1250	 3924.0	 188
118.4326	 3936.0	 188
118.7457	 3952.0	 188
119.0588	 3972.0	 188
119.3884	 3984.0	 188
119.7015	 4000.0	 188
120.0146	 4012.0	 188
120.3278	 4024.0	 188
120.6354	 4036.0	 188
120.9485	 4048.0	 188
121.2616	 4060.0	 188
121.5747	 4068.0	 188
121.8878	 4080.0	 188
122.2009	 4096.0	 188
122.4646	 4112.0	 188
122.7777	 4136.0	 188
123.0908	 4144.0	 188
123.4039	 4152.0	 188
123.7170	 4168.0	 188
124.0302	 4184.0	 188
124.3433	 4192.0	 188
124.6674	 4208.0	 188
124.9805	 4224.0	 188
125.2936	 4248.0	 188
125.6067	 4272.0	 188
125.9198	 4280.0	 188
126.2329	 4304.0	 188
126.5460	 4328.0	 188
126.8591	 4336.0	 188
127.1667	 4352.0	 188
127.4799	 4376.0	 188
127.8094	 4400.0	 188
128.1226	 4424.0	 188
128.4357	 4440.0	 188
128.7488	 4464.0	 188
129.0619	 4480.0	 188
129.3750	 4488.0	 188
129.6826	 4504.0	 188
130.0122	 4528.0	 188
130.3253	 4552.0	 188
130.6384	 4584.0	 188
130.9515	 4608.0	 188
131.2646	 4624.0	 188
131.5778	 4640.0	 188
131.8854	 4664.0	 188
132.2150	 4688.0	 188
132.5281	 4720.0	 188
132.8412	 4752.0	 188
133.1543	 4768.0	 188
133.4674	 4792.0	 188
133.7805	 4816.0	 188
134.0936	 4832.0	 188
134.4177	 4832.0	 188
134.7308	 4800.0	 188
